极度满意	2
爆表	1.9955
爆棚	1.991
震撼	1.9865
完爆	1.982
惊艳	1.9775
超棒	1.973
超赞	1.9685
超值	1.964
超级棒	1.9595
超酷	1.955
超快	1.9505
超强	1.946
超值	1.9415
超好	1.937
超级爽	1.9325
超级薄	1.928
超爽	1.9235
超美	1.919
超炫	1.9145
炒鸡棒	1.91
超划算	1.9055
一流	1.901
挺棒	1.8965
棒棒棒	1.892
棒棒	1.8875
爱不释手	1.883
真牛	1.8785
牛逼	1.874
牛叉	1.8695
牛掰	1.865
无敌	1.8605
牛	1.856
完美	1.8515
大爱	1.847
大赞	1.8425
爱	1.838
满意	1.8335
满意	1.829
满分	1.8245
太爽	1.82
太值	1.8155
到位	1.811
满足	1.8065
没得说	1.802
秒解	1.7975
给力	1.793
力挺	1.7885
神速	1.784
杠杠的	1.7795
杠杠滴	1.775
大赞	1.7705
超喜欢	1.766
温润如玉	1.7615
真好	1.757
蛮强	1.7525
蛮薄	1.748
顺畅	1.7435
挺强	1.739
真心强	1.7345
惊喜	1.73
令人满意	1.7255
物超所值	1.721
无可挑剔	1.7165
高兴	1.712
优秀	1.7075
爽	1.703
好	1.6985
哈哈哈	1.694
哈哈哈哈	1.6895
贴心	1.685
棒	1.6805
赞	1.676
点赞	1.6715
好	1.667
好评	1.6625
靠谱	1.658
物有所值	1.6535
不用说	1.649
很快	1.6445
信赖	1.64
信号强	1.6355
好强	1.631
人性化	1.6265
良心	1.622
省心	1.6175
有心	1.613
用心	1.6085
走心	1.604
少女心	1.5995
快	1.595
不错	1.5905
佳	1.586
体验佳	1.5815
音质佳	1.577
绝佳	1.5725
颜值佳	1.568
挺牛	1.5635
挺久	1.559
久	1.5545
强	1.55
吊打	1.5455
强大	1.541
喜欢	1.5365
漂亮	1.532
支持	1.5275
推荐	1.523
好看	1.5185
酷炫	1.514
炫	1.5095
酷	1.505
精致	1.5005
炫酷	1.496
炫彩	1.4915
流畅	1.487
灵敏	1.4825
高清	1.478
蛮高	1.4735
高端	1.469
高配	1.4645
高颜值	1.46
美	1.4555
鲜艳	1.451
对得起	1.4465
小巧	1.442
舒适	1.4375
精细	1.433
超大	1.4285
第一	1.424
香	1.4195
经用	1.415
颜值棒	1.4105
靓	1.406
靓丽	1.4015
超靓	1.397
精美	1.3925
省时	1.388
上档次	1.3835
清晰	1.379
纤薄	1.3745
轻薄	1.37
机身薄	1.3655
强悍	1.361
薄	1.361
轻	1.3565
值得	1.352
大气	1.3475
长	1.343
方便	1.3385
飞快	1.334
价廉物美	1.3295
多	1.325
热情	1.3205
便宜	1.316
挺亮	1.3115
挺棒	1.307
挺酷	1.3025
挺快	1.298
挺厚	1.2935
挺值	1.289
挺薄	1.2845
突出	1.28
雄起	1.2755
足	1.271
还行	1.2665
达到	1.262
舒服	1.2575
负责	1.253
用心	1.2485
美观	1.244
实在	1.2395
细腻	1.235
艳丽	1.2305
简洁	1.226
圆润	1.2215
容易	1.217
轻便	1.2125
只能	1.208
灵活	1.2035
好使	1.199
美丽	1.1945
时尚	1.19
抗摔	1.1855
耐摔	1.181
顺滑	1.1765
滑	1.172
丝滑	1.1675
柔滑	1.163
丝滑	1.1585
轻巧	1.154
强劲	1.1495
实用	1.145
绚丽	1.1405
修长	1.136
贴合	1.1315
实惠	1.127
丰富	1.1225
划算	1.118
耐用	1.1135
干净	1.109
严实	1.1045
货真价实	1.1
足够	1.0955
适合	1.091
开心	1.0865
感谢	1.082
加油	1.0775
合适	1.073
适中	1.0685
耐用	1.064
合理	1.0595
大声	1.055
大屏	1.0505
屏大	1.046
稳定	1.0415
新颖	1.037
迅速	1.0325
完好	1.028
内存大	1.0235
信得过	1.019
正好	1.0145
刚好	1.01
大内存	1.0055
一般	1.001
正常	0.901
可用	0.801
无卡顿	0.701
不卡顿	0.601
够用	0.501
中规中矩	0.401
没有	0.301
凑合	0.201
纠结	0.101
没事	0.001
欠缺	-0.5
简陋	-0.51
有事	-0.52
有待	-0.53
不好	-0.54
不行	-0.55
清内存	-0.56
失望	-0.57
贵	-0.58
失真	-0.59
尴尬	-0.6
没用	-0.61
模糊	-0.62
郁闷	-0.63
用不上	-0.64
连不了	-0.65
动不了	-0.66
删不了	-0.67
保不了	-0.68
伤不起	-0.69
扎心	-0.7
伤心	-0.71
投诉	-0.72
破损	-0.73
生气	-0.74
桑心	-0.75
心塞	-0.76
心塞塞	-0.77
麻烦	-0.78
慢	-0.79
耽误	-0.8
吃力	-0.81
挺重	-0.82
浪费	-0.83
不怎么样	-0.84
差	-0.85
差评	-0.86
差劲	-0.87
遗憾	-0.88
垃圾	-0.89
丑	-0.9
错	-0.9
恶心	-0.91
卡住	-0.92
过分	-0.93
漏光	-0.94
受不了	-0.95
脏	-0.96
比不上	-0.97
失灵	-0.98
迟钝	-0.99
发热	-1
看不清	-1.01
欺骗	-1.02
破	-1.03
破音	-1.04
发烫	-1.05
挺卡	-1.06
掉价	-1.07
成问题	-1.08
蒙人	-1.09
误导人	-1.1
恶心人	-1.11
卡成狗	-1.12
会卡	-1.13
挺烫	-1.14
偏慢	-1.15
真慢	-1.16
贼慢	-1.17
极慢	-1.18
特慢	-1.19
时好时坏	-1.2
吐槽	-1.21
坏	-1.22
重	-1.23
坑	-1.24
烫	-1.25
坏点	-1.26
坏屏	-1.27
掉漆	-1.28
无语	-1.29
亏大了	-1.3
用不了	-1.31
真辣鸡	-1.32
太辣鸡	-1.33
太坑	-1.34
太次	-1.35
太气人	-1.36
太假	-1.37
太丑	-1.38
太卡	-1.39
太烫	-1.4
太水	-1.41
掉电	-1.42
小	-1.43
不理人	-1.44
欺负人	-1.45
不搭理人	-1.46
令人担忧	-1.47
问题	-1.48
卡	-1.49
烂	-1.5
毫无	-1.51
难受	-1.52
烦	-1.53
卡顿	-1.54
耗电	-1.55
误触	-1.56
走音	-1.57
黑屏	-1.58
闪退	-1.59
闪屏	-1.6
断网	-1.61
断触	-1.62
断连	-1.63
卡段	-1.64
时断时续	-1.65
断流	-1.66
秒退	-1.67
